model_specs,fold_index,amex_metric,AUC,fold_train_start_time,fold_train_end_time,fold_train_duration,lr,sampling,data_type,seed,batch_size,es_patience,log_time
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,0,0.4762429859140561,0.8340891663928142,2026-01-17 20:51:16.133926,2026-01-17 20:53:05.586968,0 days 00:01:49.453042,0.0001,1pct,original,42,128,3,2026-01-17 20:53:05
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,1,0.5402921485597345,0.8450461524953079,2026-01-17 20:53:05.595894,2026-01-17 20:54:54.595307,0 days 00:01:48.999413,0.0001,1pct,original,42,128,3,2026-01-17 20:54:54
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,2,0.4543615027106655,0.7834104428288169,2026-01-17 20:54:54.613759,2026-01-17 20:56:41.843117,0 days 00:01:47.229358,0.0001,1pct,original,42,128,3,2026-01-17 20:56:41
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,3,0.2389808271954728,0.6497356245869134,2026-01-17 20:56:41.851195,2026-01-17 20:58:29.046965,0 days 00:01:47.195770,0.0001,1pct,original,42,128,3,2026-01-17 20:58:29
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_0.0001_0.5_0.01,4,0.4663280526629579,0.8093743115223618,2026-01-17 20:58:29.055362,2026-01-17 21:00:15.455731,0 days 00:01:46.400369,0.0001,1pct,original,42,128,3,2026-01-17 21:00:15
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,0,0.6151813330287326,0.8919158724942491,2026-01-17 20:51:13.326646,2026-01-17 20:53:29.451836,0 days 00:02:16.125190,0.0001,1pct,original,42,128,3,2026-01-17 20:53:29
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,1,0.5902826623489706,0.8670632525161616,2026-01-17 20:53:29.461021,2026-01-17 20:55:46.032217,0 days 00:02:16.571196,0.0001,1pct,original,42,128,3,2026-01-17 20:55:46
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,2,0.5069833663451291,0.8555628993170301,2026-01-17 20:55:46.039377,2026-01-17 20:58:00.246603,0 days 00:02:14.207226,0.0001,1pct,original,42,128,3,2026-01-17 20:58:00
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,3,0.4145287358174332,0.7772967614011895,2026-01-17 20:58:00.254207,2026-01-17 21:00:20.289878,0 days 00:02:20.035671,0.0001,1pct,original,42,128,3,2026-01-17 21:00:20
original_1pct_0.0001_42_128_3_512_1_0.2_0.01_1.0_0.5_0.01,4,0.5710817282006089,0.860663141661159,2026-01-17 21:00:20.299091,2026-01-17 21:02:12.051358,0 days 00:01:51.752267,0.0001,1pct,original,42,128,3,2026-01-17 21:02:12
