lr,test mse,test mae
0.0001,0.09024899452924728,0.11682625114917755
0.0001,0.09024899452924728,0.11682625114917755
0.0001,0.09024899452924728,0.11682625114917755
0.0001,0.09024899452924728,0.11682625114917755
0.0001,0.08944781124591827,0.11687515676021576
0.0001,0.04813626781105995,0.20224063098430634
0.0001,0.33728641271591187,0.40667182207107544
0.0001,-0.03976255816728353
0.0001,"(-0.03976255816728353, 0.4689655172413793)"
0.0001,"(-0.03976255816728353, 0.4689655172413793)"
0.0001,"(-0.09934673666626942, 0.41034482758620694)"
0.0001,"(0.095834828279069, 0.5367816091954024)"
0.0001,"(0.034461879795979394, 0.5091954022988505)"
0.0001,"(-0.17528735632183964, 0.33563218390804594)"
0.0001,"(0.03384142703734599, 0.5413793103448276)"
0.0001,"(0.025663206459053813, 0.5333333333333333)"
0.0001,"(0.040303465923330936, 0.5149425287356322)"
0.0001,"(-0.07364375770592266, 0.435632183908046)"
0.0001,"(0.02563165416908703, 0.5022317033147359)"
0.0001,"(0.04879224051678212, 0.5223279728694892)"
0.0001,"(0.014608369472843458, 0.4851766765124166)"
1e-05,"(0.024931029297593763, 0.49548189475987314)"
1e-05,"(0.012453584921980829, 0.4923753564288995)"
1e-05,"(0.6956381639518372, 0.9048900557925829)"
1e-05,"(0.6956381639518372, 0.9048900557925829)"
1e-05,"(0.6956381639518372, 0.9048900557925829)"
1e-05,"(0.6725695583749806, 0.9192225517298133)"
0.0001,"(0.7126025495668413, 0.9370432872920715)"
0.0001,"(0.6456058980656748, 0.8761185865879006)"
0.0001,"(0.6456058980656748, 0.8761185865879006)"
